Class,Complaint
Notrelated,"Hectic work schedule, strict office clock-in timings, late night and weekend working expected during commercialization, comparatively low pay"
Notrelated,"Strict rules to enter inside office, need to scan body like employees are thief."
Notrelated,"Organization is hierarchical, very stringent on dress code"
Notrelated,If you want to reminisce about your school days go and work for this company. The atmosphere is repressive and middle management do not have a clue about motivation or staff welfare. You are not allowed to access you private phone - it�s pathetic. Terrible commission structure Only company I�ve ever worked for that does not pay sick pay
Notrelated,Terrible management on the whole.
Notrelated,Micro management and zero respect for work life balance
Notrelated,"Bad management & huge transparency between manufacturing employee and engineering group, no corporate ethics/morale, unprofessional work environments and big quality issue."
Notrelated,"It's in a small community, so there is a fair amount of nepotism. Cliques form and oftentimes it felt like being in high school. Not everyone seems to remember that we should all work for a common goal. There was definitely some inter-department competition."
Notrelated,"followers, snitches,some lazy people, some just to collect a pay check"
Notrelated,It may take years to move up.
Notrelated,"Workload changes from being extremely busy to not busy at all. Don't provide a whole lot of training, you just get placed in and you have to learn along the way."
Notrelated,decision making is not good and painfully slow at times. most of the time the work goes for a last moment emergency
Notrelated,Upward mobility was somewhat limited.
Notrelated,"The executive staff hires senior staff that has been let go from their company so that they can come on board and release seasoned professionals that have worked for years here. It is shameful and unprofessional to let an employee get let go who has worked at the company for over ten years. The pay is significantly lower than industry standards. I was told two weeks after I started there that I should have never started thinking this company paid well! The company has very few levels of seniority, so it takes years if ever, to get a promotion. If you are lucky, you might get a 2% increase a year. That is pretty tough when the raise is lower than the cost of living."
Notrelated,Upper management could be better. There was a lack of support which made it hard to continue to want to work hard. Work/home life balance was difficult because we were expected to work after hours and sometimes 6 days a week during big projects which happened often. There was a lack of preparation which would�ve prevented so much extra work.
Notrelated,Not enough resources to manage multiple job tasks
Notrelated,Limited budget for projects
Notrelated,"No advancements (those who have been working here for years with lots of experience are paid the same as newcomers with no prior knowledge) -Strict work (high expectations, little to none recognition) -Management is terrible, they are always changing things up and moving things around, it messes with your work flow -People in QA (Quality Assurance) are the worst and biggest a**holes there. They will call you out and write you up for the littlest things and get all in your face about it. -Testing department is the most boring job you can have. Its easy to learn, but it's slow and you'll be crammed with loads of work due to others in the department outputting very little. -People there don't care about your well-being, they expect you to be a robot and just work. -I would not recommend this job to anyone who cares about decent wage, a fun work environment, or advancement. You're better off learning more about computers else where."
Notrelated,"Please read ""This place is TOXIC"" review on glassdoor. This person is a whistleblower and I can confirm everything this person said is true. This company is unethical plain and simple. Look at their yelp reviews, most of the bad reviews go into the other reviews that are not currently recommended because they paid yelp off. If you google digital storm reviews, you might see ResellerRatings, 100% all the reviews there are fake! Youtube search ""My Digital Storm Terrible Customer Service Experience"" This is a real review! They advertised ""craftsmanship, every gaming PC is hand built by skilled technicians. Everything from inventory allocation, assembly, testing, and quality assurance are done in-house to ensure we provide only the very best for our customers."" That's total BS. The turnover rate is really high. Everyone who works here had little to no training, they train you for about an hour and that's about it. After that, you're pretty much unsupervised to whatever you want. Everyone here is paid about 50 cents to a dollar more than the minimum wage. No raises, lots of false promises. I bet you my life, this company will pay you less if they legally can. The workers here don't really care, spirits are low thanks to poor management and work culture, and they don't feel important at all here. I love how we lied to pretty much all our customers. We're always backlogged and we just tell the customer we'll expedite their order when we actually aren't. We can't fulfill their order in time, I've seen customers don't get their $5000+ computer for over two months because they lied that they have all the components to build that expensive computer. And when they do want to cancel their order, this company has the audacity to hit them with a 15% restocking fee. And whenver there's a problem with your computer. Digital storm will take little to no responsibility including the people who paid PREMIUM and extra warranty plan. Those are a complete rip off. The only reason I think Digital storm is still in business because of how much shady stuff they do to cut costs down. Their marketing is alright. They're in PC magazines. They send free computers to youtubers, sponsor them, and they make an unboxing video thanking digital storm and how awesome their computers are. Because youtubers are influencers, they can easily encourage their fans to also buy digital storm. Do your research and don't buy from digital storm. Just look at the glassdoor photos, your computer is literally on a cardboard box on a assembly line which is just a push on a line roller."
