Class,Complain
notrelated,"- Warehouse conditions - Customer service brings out the worst in people, including co-workers, management, and customers"
notrelated,No respect from the manager Just because you get paid they think they can treat you however Tend to give u more than you can actually take
notrelated,"long shifts, they don't give you the amount of breaks you're entitled to (or they give them all within the first 2 hours of your shift), management is rude, you're not allowed ANY sick days."
notrelated,"A lot time working that you don’t get paid for. And there’s a lot of prep involved that you have to do on your own time. With your own resources. If you live rurally, the drive time is a bit of a drag. A lot of gas (6.7 miles took me a half hour!). And don’t get me started on printer cartridges!! My first week I got screwed out of 2 hours! You spe (But the work is a lot of fun)"
notrelated,Lack of team work and ability to work towards common company goals Senior leadership is detached from the day to day and the customer needs Too many changes in direction
notrelated,"The company's leadership is composed almost entirely of former executives of other failing retailers and you see a repeated pattern of polarized dynamics between groups. Some are plagued by nepotism and fraternization, where only less competent people stick around or departmental turnover when you have 4 out of a 5 people team all quit in one month. More competent employees don't usually stay long. Despite all the efforts of innovations and turnaround, the company is falling year after year like a gravity pull. This is the perfect breeding ground for complacency, mediocrity, and eventual downfall that all the executives are too familiar with."
notrelated,"Lots of turnover and nepotism, especially with higher level management. Every time a new executive or channel director comes in, they restructure teams and lay off people under them. The company says they are digital/e-commerce focused but teams are small and overburdened. There’s no respect for employees who do most of the daily, revenue-generating work. The only reward for working hard and ahead is more work. There’s no room for advancement and some roles can turn into dead ends very quickly. There are innumerable branding inconsistencies with both stores and digital products and instead of focusing on getting all channels on the same page visually, they just change branding in a new direction."
notrelated,"Dysfunction is an understatement to even begin to explain the incompetent management at the helm of Argo Pro. Having HR at the offices has become commonplace because they are either there to let someone go or have to come in to mediate “discussions” between feuding employees. The lack of control , oversight and professionalism is truly astounding. I’ve never worked in an office environment that so resembled the worst aspects of high school life. Senior management doesn’t do anything to control the unprofessional behavior and environment, it seems they would prefer to bury their heads in the sand and pretend problems don’t exist."
notrelated,"#1 monday through friday you CAN NOT get any personal business done. Be it a dentist appointment, going to the bank, or your child's parent teaching meeting. #2 The equipment is about 10 years behind the times and has lots of issues in the field. #3 the trucks are not the greatest and IMO are too big for what Jack n Jill expects you to do. Have fun parking these trucks in Paterson or Newark while you service a crappy little bodega or deli. Have fun getting these 12.5 plus trucks through the side streets where most of the side street bridges and overpasses in NJ are 12 feet and under. Have fun getting these trucks into tiny 7-11 and Quick Check parking lots. Do you see a pattern here? These trucks were not meant for the job the require you to do. #4 if you are going to have the drivers pack out please ensure the sales reps DO NOT oversell product to the store. When I walk into a small bodega or deli with 15 pieces on my hand truck and I see the store has only 1 small novelty box to put the ice cream in I get pretty god damn angry knowing this ice cream is not going to fit and now I have to deal with a pissed off store owner who wants me to take half of it back to Linden. #5 Bring back the barcodes! CVS takes way to long to check items into. I don't know if they don't train their employees right or if they hire imbiciles on purpose but when it takes almost 2 hours at a CVS to scan and stock only 60 pieces it gets me in a very very bad/ borderline EVIL mood. #6 when you have 5 or more racks in your truck they send you out with a ""helper"" problem is they hire helpers who get paid by the hour so there is zero motivation for your ""helper"" to actual help you. I can't tell you how many times I had almost double the amount of ice cream to pack out as my ""helper"" and I finished before him and had to help him finish up packing out his ice cream also. It's futile and laughable. If you had to wait on the ""helpers"" you would get back to Linden every night at 10pm."
notrelated,I have worked here for more than a year and am desperately seeking new employment. Depending on your team it can be very unorganized and you get stuck doing other people’s work. Managers play favorites so hard work often goes unnoticed. Morale is low and company does not value its employees. Employees work extremely hard and are not fairly compensated for it which is one of the reasons turnover is so high. I’ve only been here a year and at least 8 people from the team have left already.
