,class,complain
1293,Adult,The defendants recruited and maintained juvenile and adult females to work in prostitution through force fraud and coercion  
758,Minor,The defendant forced three adult victims and one minor victim to engage in commercial sex trafficking The defendant used violence fear and crack cocaine to maintain control over the victims The victims would be trafficked at hotels and truck stops On one occasion a victim called the police from a dumpster and on another occasion a different victim got the attention of law enforcement
102,Notrelated,Create a rotating on call schedule dont keep wages secret and push your hard workers for raises
1100,Adult,The defendants contacted young women predominantly through Craigslist and solicited them to work for a legitimate entertainment business Upon arrival in Phoenix the women were paid 10000 up front and then forced to work in prostitution until they paid off the debt 
711,Minor,Lakireddy Bali Reddy the largest and wealthiest landowner in Berkeley was indicted after trafficking over 200 Indians to work as laborers and personal sex slaves over the course of 13 years This was discovered when one of his four underage sex slaves died He was sentenced to 8 years in prison with 3 years of supervised release and 2000000 restitution 
354,Labor,The defendants operated a fruit harvesting business known as RA Harvesting It was through this company that the defendants recruited undocumented farm workers mainly from Mexico to work for their business in involuntary servitude for the defendants own private financial gain  The victims were forced into servitude through means of violent threats and actual physical violence 
15,Notrelated,minimal financial incentives for exceptional performance
871,Minor,The defendants transported three minors from Colorado to Texas and Louisiana and forced them to engage in commercial sex acts 
306,Labor,Our lodgings were a decrepit house that had been left to rot by the farmer it was close to collapse and totally unfit for living There were no beds No mattresses No kitchen No cupboards to store any food in or closets to hang any of our belongings No toilets It stank of something rotten and the air was so humid that we had to line the floor with a black tarpaulin just to keep the moisture off of us as we slept We had no bedding so we just slept on the floor like thatThe work was exhausting 11 hours a day seven days a week without even a drop of water to drink  there was no drinking water on the farm We became hostages with no food or payment for any of the harvesting we were doing The owner just bullied and humiliated usLaborA lieutenant colonel put me in a jeep and drove us down a pitchdark road they moved me my parents and my four children to Yodok an internment camp for political prisoners We all lived in a cramped thatched hut with a mud floor and were woken at 330am to work on the corn fields until sunset The only food we were given was gruel To survive we found anything that grew or moved and ate it quickly so no one would catch us On a lucky day we would find a rat or a snake and share it
1421,Adult,The defendants recruited and groomed the victims from the Ukraine and Belarus Upon arrival in the US the defendants would force them to get a tattoo branding them as part of their property and did not pay the victims The victims were then forced to work in several massage parlors in Illinois under threat of violence and sending their families sexually explicit videos that the defendant produced The victims were told that upon paying the defendants 25000 they could leave the organization 
717,Minor,The defendants members of the Underground Gangster Crips street gang used social media sites like Facebook and MySpace to recruit underage girls plied them with drugs and forced them to engage in commercial sexual acts Some girls were forced to have sex with gang members for initiation or tryout 
89,Notrelated,Physically hard and long hours
1026,Minor,The defendant pimped at least two thirteenyearold runaway victims out of a donut shop on the outskirts of Tacoma WA Shabazz took sexually suggestive photographs of the victims and posted them online Shabazz along with Rice see related case confiscated any money the victims were paid when engaging in commercial sex acts The defendant was later charged with attempting to break out of prison after being sentenced and beating a prison guard in the process All of the trafficking charges were dismissed including the benefiting from forced labor charges on the second additional case This case reflects the sentencing from the trafficking charges only
980,Minor,The defendant recruited a runaway sixteen year old victim and forced the victim to engage in commercial sex trafficking 
1396,Adult,The defendant forced a victim to engage in commercial sex acts 
1128,Adult,The defendants knowingly recruited enticed harbored transported and maintained by any means no less than 2 individuals knowing that the individuals would be made through use of force and threats to engage in commercial sex acts  
1176,Adult,The defendants helped Russian women get visas to come to the United States and then forced them to pay off their debts through naked dancing in strip clubs The defendants got them past Customs under the guise of being a a Russian dance and entertainment group If the victims didnt cooperate then the defendants threatened to have their mob connections hurt the victims families back home in Russia 
1168,Adult,The defendant recruited a fifteenyearold victim minor to engage in commercial sex acts The defendant took sexually explicit photographs of the victims and then posted them online to advertise the victims The defendant used cords wire clothes hangers and other objects to beat the victims 
827,Minor,The defendant forced a minor to engage in commercial sex acts 
1362,Adult,The defendant forced four victims to engage in commercial sex trafficking after posting advertisements of the victims online The defendant would confiscate all earned wages by the victims and give them food and drugs in return The defendant frequently threatened the victims through beating them and carrying a gun in his waistband 
351,Labor,Defendants smuggled at least six women across the USMexico border to work in their bar in Mission TX The women lived in an apartment attached to the Olivos home 
1366,Adult,Defendants were involved in a prostitution ring where more than 100 South Korean women smuggled into the US worked as prostitutes to pay their smuggling fees In 2005 law officers raided 11 suspected brothels including the Suk Hee Oriental Massage Parlor and the Golden Dragon Spa and arrested 27 suspects The prostitution ring had an elaborate operation which included a taxi company that transported the women to clients and a travel agency that lured South Korean women to the ring There were also arrangements to fly women to prostitute themselves in Las Vegas Dallas New York and Boston The San Francisco operation was run by Young Joon Yang
1124,Adult,An asian organized crime group was involved in trafficking and transportation of women for prostitution and money laundering
152,Notrelated,Hectic work schedule strict office clockin timings late night and weekend working expected during commercialization comparatively low pay
364,Labor,The defendants ran a massive labor trafficking scheme  Defendants used bribery phony marriages and bogus political asylum to bring workers from Eastern Europe Asia and Jamaica to the US Victims wages were deducted for room and board The victims were often falsely told where they would be working and what they would be doing in violation of contracts Additionally working and living conditions were substandard 
718,Minor,The defendant a former high school football coach had a sexual relationship with the victim while she worked for the sports team he coached He then forced the fourteenyearold minor victim to engage in commercial sex acts One of the clients was also prosecuted for his involvement with the procurement of sexual services  see the related case   USA v Malloy
1359,Adult,The defendant forced a victim to engage in commercial sex acts 
93,Notrelated,We are being outpaced by our value and premium competitors in the category which has put a strain on our businesses and resulted in a complete restructure of how we find value  in our organization While this is an exciting challenge to overcome it is a challenge nonetheless and company culture and morale are low as a result of cost cutting layoffs and burn out being overworked Senior management is not as visible as they should be in rallying the troops to help boost positivitynan
923,Minor,Defendant Cox recruited a seventeenyearold minor from Broward County to work as a prostitute picking her up from a location near hear home and taking her to hotels and other locations to prostitute  Cox also prostituted a sixteenyearold friend of the first minor  Defendant Myers assisted Cox by posting advertisements for minors on the Internet
924,Minor,The defendants forced at least two minors to engage in commercial sex trafficking The defendants frequently provided the victims with alcohol and marijuana to subdue the victims  The defendants also enforced rules with threats and violence including the number of clients each victim had to have per day  the threats were often reenforced with a large hunting knife the defendants carried around The defendants produced child pornography and advertised the victims on My Red Book One of the defendants was a man who worked for Santa Clara County as a mentor for troubled youth
551,Minor,The defendant traveled to Belize and engaged in commercial sex acts with a ten year old minor victim Upon arriving to the US the defendant was arrested
258,Notrelated,1 Expect to fight tooth and nail for the pay andor the promotion that you deserve especially if you arent into playing dirty to get what you want 2 They arent the most well versed in the operational stuff like your benefits or pto time even though the company has been in business for nearly 10 years now 3 what HR 4 Upper managementHQ rewards nasty behavior
1022,Minor,The defendants harbored and transported illegal aliens into the US from Mexico to engage in commercial sex acts The victims were then coerced into working for the defendants and were housed in brothels and the defendants homes The victims were forced to provide sexual services to hundreds of men per week The defendants knowingly conspired to attain a female victim under the age of eighteen years in order to force her to commit commercial sex acts for the defendants own personal financial gain
142,Notrelated,Management problems high turnover unwanted and unexpected overtime Favoritism and racial bias from Hispanic managers upon others Its a real challenge for some to relate with those from another culture than their own Everyone wants to be dealt with in a kind and respectful manner This takes a balance of empathy sternness and fairness to allnan
1043,Minor,The defendant forced three minor victims to engage in commercial sex acts after taking sexually explicit photographs of the victims and placing advertisements online The defendant created an online profile of a distraught teen to recruit victims  His brother was also found guilty of forcing victims to engage in commercial sex acts
642,Minor,The defendant ran a prostitution business and acted as a pimp for several victims He would frequently utilize violence to ensure the victims would not try to leave the business The defendant also worked with several other pimps in different states to coordinate jobs The ages of about two dozen victims ranged from 13 to 18 and they would be frequently traded between the pimps forming a prostitution network built on a loose affiliation between nineteen traffickers
1301,Adult,Upon arrest the defendant was found with 5000 cash and 8000 of crack cocaine He was also charged in state court for raping a victim while unconscious The 3 charges of Trafficking 1591 Production of Child Porn 2251 Possession of Child Porn 2252 were dismissed
131,Notrelated,very disorganized Many services are just terrible The department environmental service is horrid The hospital is always dirty Dietary is also bad they always messed up the pts orders There is also a lack of communication between the interdisciplinary teams This sometimes causes pts care to be delayed and therefore stay longer then needed Medicals supplies are also always lacking
776,Minor,The defendants used violence and threats of violence to force the victims several women and two minors to engage in commercial sex acts
1229,Adult,If you are the application owner check the logs for more information
719,Minor,The defendant began a relationship with the victim a fourteen year old girl The defendant then decided to force the victim to engage in commercial sex trafficking and use the proceeds to fix the breaks in his car The defendant the recorded the sexual encounter of the victim and john and proceeded to blackmail the john so that he could receive more money The defendant waited to plea because he thought that the proceedings would be more similar to what he had seen on television 
757,Minor,Defendant was found guilty of prostituting a 15 year old girl The girl was in the country illegally from Mexico and the defendant was selling the girl to men for sex The girl told the police she was being prostituted when they pulled the defendant over for a routine traffic stop 
1320,Adult,The defendant met the twelve year old minor victim in an area known for prostitution He then offered the victim 80 for sex and she agreed The defendant then took her to his home and asked if she would be willing to work as a prostitute for him if so the victim could live with the defendant as his bottom girl The defendant also forced four other females to engage in commercial sex acts 
774,Minor,A PuertoRican woman recruited enticed harbored and transported a 14 yearold female to engage in commercial sex acts 
443,Minor,The defendant aided and abetted a minor female illegal alien to enter the US in order to procure a commission from the victim  The defendant conspired to transport this victims and at least one other victim across state lines within the US for the purpose of commercial sexual exploitation  
160,Notrelated,followers snitchessome lazy people some just to collect a pay check
727,Minor,The defendant forced two minor victims and two adult victims to engage in commercial sex trafficking The defendant picked up the minor victim after several chats over the internet and picked up the two adult victims to take and traffick all three of them in Richmond Virginia After returning to Maryland the victims returned home and the defendant later picked up the minor victim again and a friend of the victim who was also a minor The victims were advertised online and taken to a New Carrollton Maryland hotel to engage in commercial sex acts
1178,Adult,The defendants knowingly recruited harbored and transported individuals to engage in interstate and foreign commerce  The defendants forced these victims at least four of whom had not attained the age of eighteen at the time  to commit commercial sex acts for the defendants own personal gain  These victims were forced to commit commercial sex acts through means of forceful coercion and maintained the victims under their control by any means possible  
931,Minor,The defendant a member of the Bloods forced ten victims one of which was a minor to engage in commercial sex acts He administered a program that he forced the victims to follow and when they did not follow the program he would verbally and physically abuse the victims
45,Notrelated,Favoritism exists on all levels of management Incompetent management still on the job
602,Minor,Curtis took pornographic pictures and pimped two minors
310,Labor,The defendants five Ukrainian brothers recruited many individuals from the Ukraine to work in bondage within the US  These victims were illegally brought into the US to work for the defendants cleaning company known as Botsvynyuk Organization  They cleaned stores such as Target Walmart and Kmart  The victims were often made to work up to 16 hours a day in order to pay off an unnamed debt the defendants claimed for bringing them into the country  The victims received often less than 100 a month to live off of and were housed in inhumane conditions while their identification forms were seized by the defendants
1377,Adult,Defendant Nyuon conspired with Alaboudi on one of the child trafficking charges Defendant Alaboudi lived near downtown in Sioux Falls drawing in homeless addicted teens looking for food shelter and drugs He supplied drugs and alcohol forcing them to engage in sex acts 
267,Notrelated,Lack of structure cooperate looks down on workers and talk to them in a very condescending way Very unprofessional they will fire you over the phone Without any valid reason
1281,Adult,CoelloOrdenez smuggled a 17yearold Honduran girl across the border under the guise of love and the promise of a relationship Instead the defendants prostituted her through force across multiple brothels in several states keeping her compliant through physical and verbal abuse According to the indictment there were two other victims that were prostituted but there were likely more than the three victims that were indicated by the indictment No information was presented to indicate that the female codefendants were also engaged in prostitution
895,Minor,The defendants trafficked a minor and forced the victim to engage in commercial sex acts by using her own phone and computer to set up and solicit the sex dates
1144,Adult,Defendants who were members of the Rolling 60s Crips Gang recruited underage girls from schools and forced them to engage in commercial sex acts 
301,Labor,One day they just said you know if youre in this village youre gonna have to fight otherwise you can leave Some people tried to leave but they were shotFirst you know you get your own weapon and everything and the magazines and the bullets and then they give you drugs I was descending into this hell so quickly and I just started shooting and thats what I did for over two years basically Whoever the commander said This guy is the enemy there were no questions asked There was no second guessing because when you ask a question and you say Why theyll shoot you right away
