,class,complain
0,Notrelated,"Hard to have a personal life because Operations Managers are required to work weekends and a lot of schedule changing depending on the needs of the hotel Also, having to be patient for job opportunities within company"
1,Notrelated,"There are no benefits, no maternity leave. You work for maybe a dollar above minimum wage and are treated like you're lazy for simply requesting a set schedule"
2,Notrelated,"lot of turnover in the front desk department. Favoritism within certain heads of department. Higher ups do not seem genuine. Overworked with 4+ jobs at once and not enough employees to get support. Claims to get 7 free nights but rarely ever gets approved. ""Open door"" policy however your concerns are overlooked."
3,Notrelated,I have nothing bad to report
4,Notrelated,Work hours can be long even if working from home Large responsibility Multiple 8-10 hotels in your portfolio at a time
5,Notrelated,Corporate Operations team in NYC region is dishonest.
6,Notrelated,pay is not that great and not willing to offer more.
7,Notrelated,It's literally the most stressful work place I've ever had to experience. Nobody actually does their job unless the GM or assistants start walking the floor and even then things don't get finished. You work awful long hours. Breaks are hard to even get. Management is a joke honestly they don't have the experience of actually running a restaurant their all (hotel) experienced only. They have so much expensive liquor...
8,Notrelated,This company allows you to bring out your creativeness and ensure you excel in all areas. They also have great core values! Great work life balance.
9,Notrelated,"Will not support a manager when what is said about them is incorrect, no matter how unbelievable the statements made are"
10,Notrelated,"There truly are none. Every company has it's hiccups, but it's how you handle them that makes you who you are, and in Concord it's with the highest integrity, care for others and purpose that we approach the business."
11,Notrelated,Short staffed with quite a bit of turnover. People in leadership positions but are not leaders.
12,Notrelated,Many formal leadership trainings are not accessible due to tight budgets and not enforced by corporate.
13,Notrelated,"While the executive MGMT is highly professional, mid-level MGMT and supervisors lack such characteristics. They do not maintain confidentiality of performance issues and gossip about their staff. They provide inconsistent aid to frontline associate's work. The 40% discount at the restaurant is barely used because of restaurant rules which make us jump through hoops to place an order. Why the difficulty? "
14,Notrelated,Management needs to be replaced. Ridiculous hours. Overworked housekeepers.
15,Notrelated,minimal financial incentives for exceptional performance
16,Notrelated,the management is honest. Salary is on time. Team building events at the company. For extra working hours additional payment is offered. 
17,Notrelated,It would be great if management was more invested in developing some of their star employees. My experience was that I had to train myself and advocate myself. This was a brand new industry for me to work in and I was lost for along time trying to figure out where this new career could go.
18,Notrelated,"Unless you are with the ""in"" group you will not last long. They promise the moon but very heavy on unless reporting. Has own internal audit and the auditor had no idea what they were asking for because they did not know the brand! Extremly clicky at the top. Top managers (VPs) will blame other for their mistakes and even make stuff up to make you look bad, have to waste your day refuting allegations. Very High School for such senior staff."
